,label
0,business
1,tech
2,sport
3,politics
4,tech
5,entertainment
6,sport
7,politics
8,sport
9,sport
10,sport
11,politics
12,tech
13,sport
14,entertainment
15,politics
16,entertainment
17,entertainment
18,politics
19,tech
20,tech
21,business
22,sport
23,politics
24,politics
25,sport
26,business
27,business
28,politics
29,politics
30,entertainment
31,business
32,entertainment
33,sport
34,sport
35,tech
36,tech
37,entertainment
38,politics
39,entertainment
40,business
41,business
42,sport
43,tech
44,entertainment
45,business
46,entertainment
47,entertainment
48,entertainment
49,politics
50,entertainment
51,tech
52,business
53,politics
54,entertainment
55,politics
56,tech
57,politics
58,business
59,tech
60,tech
61,sport
62,sport
63,business
64,business
65,business
66,business
67,sport
68,sport
69,sport
70,business
71,tech
72,business
73,sport
74,entertainment
75,entertainment
76,business
77,tech
78,sport
79,entertainment
80,politics
81,business
82,politics
83,politics
84,politics
85,politics
86,tech
87,business
88,sport
89,sport
90,business
91,sport
92,politics
93,business
94,entertainment
95,sport
96,politics
97,sport
98,entertainment
99,business
100,business
101,business
102,politics
103,sport
104,entertainment
105,entertainment
106,entertainment
107,sport
108,entertainment
109,entertainment
110,entertainment
111,sport
112,tech
113,business
114,tech
115,entertainment
116,business
117,politics
118,tech
119,politics
120,business
121,tech
122,politics
123,politics
124,entertainment
125,tech
126,tech
127,sport
128,sport
129,entertainment
130,sport
131,tech
132,sport
133,sport
134,sport
135,politics
136,entertainment
137,entertainment
138,tech
139,politics
140,sport
141,politics
142,sport
143,entertainment
144,politics
145,tech
146,politics
147,sport
148,sport
149,business
150,tech
151,sport
152,tech
153,sport
154,sport
155,entertainment
156,tech
157,tech
158,business
159,business
160,business
161,sport
162,politics
163,entertainment
164,tech
165,tech
166,business
167,sport
168,business
169,sport
170,business
171,entertainment
172,sport
173,tech
174,sport
175,business
176,sport
177,sport
178,entertainment
179,sport
180,politics
181,business
182,entertainment
183,sport
184,tech
185,sport
186,sport
187,politics
188,tech
189,tech
190,business
191,entertainment
192,sport
193,tech
194,politics
195,tech
196,sport
197,politics
198,tech
199,sport
200,politics
201,tech
202,business
203,business
204,politics
205,sport
206,entertainment
207,sport
208,entertainment
209,sport
210,business
211,entertainment
212,sport
213,politics
214,sport
215,business
216,sport
217,business
218,entertainment
219,politics
220,tech
221,sport
222,sport
223,politics
224,sport
225,entertainment
226,politics
227,tech
228,business
229,business
230,business
231,entertainment
232,tech
233,sport
234,sport
235,tech
236,business
237,business
238,sport
239,entertainment
240,politics
241,politics
242,business
243,entertainment
244,politics
245,politics
246,business
247,business
248,entertainment
249,tech
250,politics
251,business
252,tech
253,entertainment
254,business
255,tech
256,tech
257,politics
258,sport
259,business
260,entertainment
261,entertainment
262,tech
263,sport
264,entertainment
265,politics
266,politics
267,entertainment
268,tech
269,tech
270,sport
271,sport
272,sport
273,entertainment
274,tech
275,sport
276,business
277,politics
278,business
279,politics
280,business
281,sport
282,entertainment
283,business
284,entertainment
285,sport
286,entertainment
287,tech
288,politics
289,politics
290,politics
291,entertainment
292,sport
293,politics
294,politics
295,entertainment
296,tech
297,entertainment
298,tech
299,business
300,entertainment
301,sport
302,politics
303,sport
304,entertainment
305,politics
306,sport
307,politics
308,business
309,tech
310,business
311,politics
312,business
313,business
314,politics
315,tech
316,sport
317,politics
318,politics
319,business
320,sport
321,politics
322,tech
323,sport
324,tech
325,sport
326,entertainment
327,business
328,politics
329,sport
330,tech
331,entertainment
332,business
333,sport
334,business
335,politics
336,tech
337,politics
338,entertainment
339,politics
340,sport
341,sport
342,entertainment
343,entertainment
344,entertainment
345,tech
346,sport
347,business
348,entertainment
349,business
350,politics
351,sport
352,tech
353,entertainment
354,politics
355,tech
356,tech
357,sport
358,tech
359,tech
360,entertainment
361,tech
362,sport
363,politics
364,sport
365,business
366,politics
367,entertainment
368,sport
369,tech
370,business
371,sport
372,politics
373,politics
374,business
375,politics
376,politics
377,politics
378,entertainment
379,business
380,business
381,politics
382,business
383,business
384,sport
385,sport
386,tech
387,business
388,business
389,entertainment
390,politics
391,entertainment
392,entertainment
393,entertainment
394,politics
395,entertainment
396,politics
397,entertainment
398,business
399,entertainment
400,sport
401,entertainment
402,politics
403,politics
404,business
405,sport
406,business
407,politics
408,entertainment
409,sport
410,entertainment
411,tech
412,entertainment
413,business
414,business
415,tech
416,sport
417,business
418,politics
419,tech
420,politics
421,sport
422,business
423,sport
424,business
425,tech
426,politics
427,business
428,politics
429,entertainment
430,tech
431,politics
432,tech
433,politics
434,sport
435,entertainment
436,tech
437,sport
438,tech
439,business
440,business
441,business
442,sport
443,tech
444,sport
445,business
446,tech
447,tech
448,sport
449,sport
450,tech
451,tech
452,business
453,politics
454,sport
455,tech
456,entertainment
457,business
458,sport
459,entertainment
460,sport
461,entertainment
462,politics
463,sport
464,politics
465,sport
466,tech
467,tech
468,entertainment
469,business
470,politics
471,politics
472,sport
473,politics
474,business
475,entertainment
476,sport
477,sport
478,sport
479,sport
480,business
481,business
482,politics
483,tech
484,tech
485,politics
486,entertainment
487,sport
488,sport
489,politics
490,entertainment
491,business
492,business
493,business
494,sport
495,sport
496,entertainment
497,business
498,sport
499,business
500,business
501,business
502,business
503,sport
504,sport
505,tech
506,sport
507,business
508,politics
509,sport
510,entertainment
511,sport
512,entertainment
513,sport
514,business
515,entertainment
516,tech
517,politics
518,entertainment
519,tech
520,entertainment
521,entertainment
522,entertainment
523,entertainment
524,business
525,politics
526,politics
527,sport
528,tech
529,entertainment
530,business
531,sport
532,sport
533,sport
534,entertainment
535,tech
536,business
537,tech
538,business
539,business
540,sport
541,politics
542,entertainment
543,business
544,business
545,entertainment
546,tech
547,entertainment
548,business
549,business
550,business
551,business
552,entertainment
553,politics
554,sport
555,entertainment
556,tech
557,sport
558,politics
559,politics
560,tech
561,tech
562,tech
563,sport
564,tech
565,entertainment
566,business
567,business
568,business
569,tech
570,sport
571,tech
572,business
573,business
574,tech
575,sport
576,entertainment
577,tech
578,business
579,tech
580,sport
581,entertainment
582,sport
583,tech
584,tech
585,tech
586,tech
587,politics
588,politics
589,business
590,sport
591,tech
592,politics
593,politics
594,business
595,tech
596,business
597,politics
598,politics
599,tech
600,entertainment
601,politics
602,business
603,entertainment
604,tech
605,business
606,business
607,tech
608,politics
609,politics
610,business
611,business
612,tech
613,sport
614,business
615,business
616,tech
617,sport
618,entertainment
619,politics
620,entertainment
621,sport
622,politics
623,tech
624,sport
625,tech
626,business
627,tech
628,sport
629,sport
630,sport
631,politics
632,sport
633,tech
634,entertainment
635,sport
636,politics
637,tech
638,politics
639,politics
640,sport
641,tech
642,business
643,politics
644,sport
645,sport
646,sport
647,entertainment
648,tech
649,entertainment
650,sport
651,business
652,tech
653,politics
654,business
655,politics
656,business
657,sport
658,business
659,business
660,sport
661,business
662,entertainment
663,tech
664,entertainment
665,entertainment
666,politics
667,tech
668,tech
669,business
670,politics
671,sport
672,business
673,tech
674,entertainment
675,entertainment
676,politics
677,politics
678,business
679,tech
680,politics
681,politics
682,politics
683,tech
684,sport
685,sport
686,business
687,politics
688,entertainment
689,business
690,business
691,politics
692,business
693,politics
694,entertainment
695,business
696,business
697,tech
698,sport
699,sport
700,business
701,tech
702,politics
703,sport
704,entertainment
705,politics
706,entertainment
707,entertainment
708,tech
709,business
710,sport
711,entertainment
712,entertainment
713,entertainment
714,sport
715,entertainment
716,business
717,tech
718,politics
719,entertainment
720,tech
721,tech
722,sport
723,business
724,entertainment
725,sport
726,politics
727,tech
728,tech
729,business
730,sport
731,entertainment
732,business
733,entertainment
734,sport
735,sport
736,business
737,politics
738,business
739,politics
740,politics
741,tech
742,entertainment
743,politics
744,tech
745,tech
746,sport
747,entertainment
748,business
749,politics
750,business
751,business
752,sport
753,tech
754,business
755,tech
756,tech
757,sport
758,sport
759,politics
760,tech
761,tech
762,politics
763,sport
764,business
765,tech
766,politics
767,politics
768,sport
769,sport
770,sport
771,business
772,politics
773,sport
774,entertainment
775,entertainment
776,politics
777,entertainment
778,tech
779,entertainment
780,entertainment
781,politics
782,sport
783,entertainment
784,tech
785,business
786,sport
787,tech
788,entertainment
789,entertainment
790,business
791,sport
792,entertainment
793,entertainment
794,politics
795,tech
796,entertainment
797,politics
798,entertainment
799,entertainment
800,entertainment
801,sport
802,entertainment
803,business
804,sport
805,entertainment
806,business
807,tech
808,entertainment
809,business
810,sport
811,politics
812,sport
813,sport
814,sport
815,tech
816,politics
817,sport
818,business
819,politics
820,tech
821,entertainment
822,sport
823,tech
824,business
825,politics
826,business
827,business
828,entertainment
829,entertainment
830,sport
831,politics
832,sport
833,sport
834,business
835,sport
836,tech
837,sport
838,business
839,business
840,sport
841,sport
842,politics
843,sport
844,sport
845,business
846,tech
847,tech
848,business
849,sport
850,tech
851,sport
852,politics
853,entertainment
854,entertainment
855,sport
856,entertainment
857,sport
858,business
859,politics
860,sport
861,tech
862,sport
863,sport
864,business
865,sport
866,sport
867,business
868,entertainment
869,politics
870,business
871,business
872,business
873,tech
874,entertainment
875,business
876,tech
877,politics
878,sport
879,entertainment
880,sport
